rep16_frac2,dem16_frac2,dem08_frac2,dem12_frac2,rep08_frac2,rep12_frac2,LessThanHighSchool,AtLeastHighSchoolDiploma,AtLeastBachelorsDegree,MedianEarnings2010dollars,PovertyRatebelowfederalpovertythreshold,Managementprofessionalandrelatedoccupations,Serviceoccupations,Salesandofficeoccupations,Farmingfishingandforestryoccupations,Constructionextractionmaintenanceandrepairoccupations,Productiontransportationandmaterialmovingoccupations,Uninsured,Unemployment
0.786643942,0.213356058,0.345107122,0.299075026,0.654892878,0.700924974,14.9,85.1,14.8,21228.51016,16.85,27.1,18.6,21.3,1.2,7.55,24.25,0.222,0.081
0.642866146,0.357133854,0.366988795,0.366735721,0.633011205,0.633264279,18.7,81.3,16.1,24566.7381,21,28.4,16.85,22.2,1.35,10.35,20.8,0.186,0.086
0.785746916,0.214253084,0.237205771,0.233126886,0.762794229,0.766873114,15.2,84.8,14.7,28723.96953,9.2,26.85,12.95,25.75,1.35,13.3,19.8,0.166,0.065
0.777811366,0.222188634,0.315880822,0.27972028,0.684119179,0.72027972,17.8,82.2,10.1,20693.82413,18.45,29.25,14.85,20.65,5.1,10.85,19.3,0.24,0.077
0.75599631,0.24400369,0.350555919,0.329927696,0.649444081,0.670072304,24.2,75.8,13.4,23365.94889,18.2,25.15,16.85,19.55,2.9,16.2,19.4,0.239,0.053
0.442153335,0.557846665,0.58343082,0.593138439,0.41656918,0.406861561,26.7,73.3,10.5,20984.47746,30.15,26.05,20.9,21.7,2.6,10.25,18.45,0.192,0.11
0.709589041,0.290410959,0.320947515,0.311614731,0.679052485,0.688385269,22.2,77.8,6.6,24009.61778,13.85,19.3,11.9,15.3,3.75,15.85,33.85,0.213,0.09
0.685200769,0.314799231,0.374283347,0.340933381,0.625716653,0.659066619,16.7,83.3,23.1,23811.60381,18.45,32.2,15.8,26.55,1.1,8.55,15.85,0.194,0.067
0.406365611,0.593634389,0.558598318,0.558451534,0.441401682,0.441548466,11.8,88.2,30.7,28503.21016,15.9,38.45,16.2,27.3,0.2,7.55,10.35,0.183,0.066
0.626599273,0.373400727,0.402291731,0.40355992,0.597708269,0.59644008,19.4,80.6,19.4,21988.9473,23.45,28.35,18.25,20.15,3.6,9.4,20.2,0.197,0.108
0.422036399,0.577963601,0.589500194,0.613336421,0.410499806,0.38666358,30.7,69.3,12.6,18959.64413,35.95,27.65,25.9,13.6,5.85,7.4,19.65,0.217,0.104
0.742152466,0.257847534,0.33015873,0.315021231,0.66984127,0.684978769,18.4,81.6,10.5,25756.63429,14.7,23.45,16.35,17.6,3,16.8,22.8,0.19,0.08
0.803130368,0.196869632,0.256956372,0.223657666,0.743043628,0.776342334,18.2,81.8,17.3,21697.92762,16.05,27,17.35,26,0.55,11.5,17.65,0.2,0.08
0.75505279,0.24494721,0.320391318,0.290141774,0.679608682,0.709858226,22,78,11.5,23194.91048,16.9,27.6,18.6,20.8,4.4,10.95,17.65,0.218,0.073
0.757575758,0.242424242,0.344691103,0.298750868,0.655308897,0.701249133,29.8,70.2,10.3,21025.69207,17.4,16.75,16.7,21.85,4.5,11,29.2,0.271,0.06
0.777810092,0.222189908,0.346139187,0.306020962,0.653860813,0.693979038,19.1,80.9,12,23933.95429,17.25,23.95,14.8,22.7,1.3,11.75,25.5,0.183,0.088
0.63471382,0.36528618,0.37748274,0.380549909,0.62251726,0.619450091,16.3,83.7,20.8,21265.24476,21.3,31.2,16.45,25.05,1.8,10.05,15.45,0.186,0.085
0.546119464,0.453880536,0.53934301,0.522010129,0.46065699,0.477989871,26.9,73.1,9,21485.04762,24.4,24.45,17.3,24,6.25,10.1,17.85,0.207,0.107
0.670129613,0.329870387,0.406825939,0.376336422,0.593174061,0.623663578,21,79,17.4,21047.41619,17.8,24.55,21.35,20.95,1.85,12,19.3,0.262,0.055
0.784397438,0.215602562,0.359478435,0.298882134,0.640521565,0.701117866,18.4,81.6,12.3,20852.58349,19.4,24.4,21.8,22.8,1.85,14.05,15.15,0.225,0.082
0.772855796,0.227144204,0.270969661,0.267574414,0.729030339,0.732425586,14.1,85.9,14,25654.48222,16,29.3,15.25,21.25,3.95,11.65,18.5,0.191,0.07
0.845189355,0.154810645,0.263391656,0.207162828,0.736608345,0.792837172,19.6,80.4,10,20551.20635,19.75,24.15,15.45,21.3,2.85,14.3,21.9,0.246,0.077
0.775208935,0.224791065,0.308800134,0.273211758,0.691199866,0.726788242,17.6,82.4,14.7,22646.8981,18.5,26.25,16.85,21.45,1.55,10.15,23.75,0.209,0.087
0.720655869,0.279344131,0.3506,0.314360948,0.6494,0.685639052,18.8,81.2,11.9,24382.38064,18.25,22.35,18.9,18.7,2.35,15.2,22.45,0.184,0.069
0.633829585,0.366170415,0.416855204,0.396978852,0.583144796,0.603021148,21.7,78.3,10.7,22212.29238,20.7,24.35,14.95,17.4,2.15,8.2,32.95,0.193,0.069
0.362731997,0.637268003,0.647747953,0.666923077,0.352252047,0.333076923,29.1,70.9,12.1,20110.94064,33.5,27.7,24.45,22.7,5,5.25,14.9,0.183,0.109
0.762905951,0.237094049,0.389080983,0.335837716,0.610919017,0.664162284,25.2,74.8,9.2,20430.81365,24.15,25.7,17.55,22.4,2.75,10.45,21.15,0.211,0.09
0.824263432,0.175736569,0.273933403,0.254251701,0.726066597,0.745748299,26.3,73.7,9,22535.49302,25.05,20.15,12.05,17.65,5.85,12.2,32.1,0.244,0.066
